'a'gong'yan 阿公岩
'ang'ping'lan'che'zhan 昂坪缆车站
'ang'ping'lu'huan'dao 昂平路环岛
'ang'ping'lu'kou 昂平路口
'ang'ping'qi'qu'jing 昂平奇趣经
'ang'ping'shi'ji 昂坪市集
'ao'bei'li'jie 奥卑利街
'ao'bei'wan 坳背湾
'ao'bei'wan'jie 坳背湾街
'ao'hai'cheng 奥海城
'ao'hai'cheng'er'qi 奥海城二期
'ao'hai'cheng'zong'zhan 奥海城总站
'ao'jing'lu 澳景路
'ao'tou 凹头
'ao'tou 澳头
'ao'tou'xin'cun 澳头新村
'ao'yun 奥运
'ao'yun'tie'lu'zhan 奥运铁路站
'ao'yun'zhan 奥运站
'ba'bing'dun'dao 巴丙顿道
'ba'cui'nan'shu'yuan 拔萃男书院
'ba'cui'nv'shu'yuan 拔萃女书院
'ba'cui'xiao'xue 拔萃小学
'ba'da'jie 八达街
'ba'hao'hua'yuan 八号花园
'ba'hao'hua'yuan'ba'shi'zhan 八号花园巴士站
'ba'hao'ma'tou 八号码头
'ba'hao'shang'ye'guang'chang 八号商业广场
'ba'lu'shi'jie 巴路士街
'ba'shi'chang 巴士厂
'ba'shi'zhan 巴士站
'ba'shi'zong'zhan 巴士总站
'ba'wei'lu'kou 坝尾路口
'ba'xian'ling'jiao'ye'gong'yuan 八仙岭郊野公园
'ba'xiang'ba'xiang'lu 八乡八乡路
'ba'xiang'dong'bian'lu 八乡东边路
'ba'xiang'gu'miao 八乡古庙
'ba'xiang'jing'shu 八乡警署
'ba'xiang'lu 八乡路
'ba'xiang'shi'gang'qiao 八乡石岗桥
'ba'xiang'xiao'fang'ju 八乡消防局
'ba'xiang'xin'ma'lu 八乡新马路
'ba'yu'jie 巴域街
'ba'zi'wo'cun 拔子窝村
'bai'bi 白璧
'bai'de'hao'ting 柏德豪廷
'bai'de'xin'jie 百德新街
'bai'fu'dao 百福道
'bai'fu'hua'yuan 百福花园
'bai'fu'tian'xin'qiu'chang 百福田心球场
'bai'he'lu 百和路
'bai'he'yuan 百合苑
'bai'hong'lou 白虹楼
'bai'hua'jie 摆花街
'bai'hui'hao'yuan 栢慧豪园
'bai'jia'chao'ji'shi'chang 百佳超级市场
'bai'jia'dao'zhan 白加道站
'bai'jia'dian'li'sui'dao 柏架电力隧道
'bai'jia'shan'dao 柏架山道
'bai'jia'shi'jie 白加士街
'bai'jian'shi'dao 白建时道
'bai'jing'wan 柏景湾
'bai'jing'wan'ba'shi'zong'zhan 柏景湾巴士总站
'bai'jing'wan'da'men'kou 柏景湾大门口
'bai'kui'lou 百葵楼
'bai'le'da'sha 百乐大厦
'bai'le'jiu'dian 百乐酒店
'bai'le'men'da'sha 百乐门大厦
'bai'li'da'dao 柏丽大道
'bai'li'gou'wu'da'dao 栢丽购物大道
'bai'li'guang'chang 柏丽广场
'bai'li'ji'fu'ren'jian'kang'yuan 柏立基夫人健康院
'bai'li'ji'jian'kang'yuan 柏立基健康院
'bai'li'xian 百里鲜
'bai'niao'yuan 百鸟苑
'bai'ning 柏宁
'bai'ning'jiu'dian 柏宁酒店
'bai'niu'shi 白牛石
'bai'pu'li'ning'yang'zhong'xin 白普理宁养中心
'bai'pu'li'xiao'xue 白普理小学
'bai'sha 白沙
'bai'sha'ao 白沙澳
'bai'sha'lou 白沙楼
'bai'sha'tai 白沙台
'bai'sha'wan 白沙湾
'bai'sheng'jiao 百胜角
'bai'shi'ao 白石凹
'bai'shi'ao'jiao'hui'chu 白石凹交汇处
'bai'shi'jiao 白石角
'bai'shi'tai 白石台
'bai'shi'wo 白石窝
'bai'tao'xiao'zhu 柏涛小筑
'bai'tian 白田
'bai'tian'ba'cun 白田坝村
'bai'tian'ba'shi'zong'zhan 白田巴士总站
'bai'tian'cun 白田邨
'bai'tian'cun'an'tian'lou 白田邨安田楼
'bai'tian'cun'ba'shi'zong'zhan 白田邨巴士总站
'bai'tian'cun'di 白田邨第
'bai'tian'cun'fu'tian'lou 白田邨富田楼
'bai'tian'cun'kou 白田邨口
'bai'tian'cun'rui'tian'lou 白田邨瑞田楼
'bai'tian'jie 白田街
'bai'tian'shang'chang 白田商场
'bai'xin'da'sha 百新大厦
'bai'yang'jie 白杨街
'bai'yin'xiang 白银乡
'bai'yuan 柏园
'bai'yun'cun 白云邨
'ban'chun'yuan 半春园
'ban'dao'guang'chang 半岛广场
'ban'dao'hao'ting 半岛豪庭
'ban'dao'jiu'dian 半岛酒店
'ban'dao'zhong'xin 半岛中心
'ban'gong'da'lou 办公大楼
'ban'han'dao 般含道
'ban'jian'cun 半见村
'ban'jian'dao'xiang'gang'da'xue 般坚道香港大学
'ban'shan'yi'hao 半山壹号
'ban'xian'dao 般咸道
'bao'an'dao 保安道
'bao'an'dao'jie'shi 保安道街市
'bao'an'ge 宝安阁
'bao'cheng'da'sha 宝城大厦
'bao'cui'ge 宝翠阁
'bao'cui'yuan 宝翠园
'bao'da'ba'shi'zong'zhan 宝达巴士总站
'bao'da'cun 宝达邨
'bao'feng 宝峰
'bao'feng'jing 宝峰径
'bao'feng'lu 宝丰路
'bao'feng'yuan 宝峰园
'bao'fu'shan'ji'nian'guan 宝福山纪念馆
'bao'hu'hua'yuan 宝湖花园
'bao'hua 宝华
'bao'hua'da'sha 保华大厦
'bao'jian'lou 宝俭楼
'bao'kang'gong'yuan 宝康公园
'bao'kang'lu 宝康路
'bao'li'yuan 宝丽苑
'bao'lian'si 宝莲寺
'bao'liang'ju 保良局
'bao'liang'ju'di'yi'yong'qing'zhong'xue 保良局第一永庆中学
'bao'liang'ju'di'yi'zhang'yong'qing'zhong'xue 保良局第一张永庆中学
'bao'liang'ju'hui'yan'ya'ji'shu'yuan 保良局慧妍雅集书院
'bao'lin 宝林
'bao'lin 宝琳
'bao'lin'cun 宝林邨
'bao'lin'cun'bao'jian'lou 宝琳邨宝俭楼
'bao'lin'gang'tie'zhan 宝琳港铁站
'bao'lin'xiao'fang'ju 宝林消防局
'bao'lin'xin'du'cheng'er'qi 宝林新都城二期
'bao'lin'zhan 宝林站
'bao'lin'zhan 宝琳站
'bao'lin'zong'zhan 宝林总站
'bao'lu'liu'shi'shu'yuan 保禄六世书院
'bao'ma'shan 宝马山
'bao'ma'shan'dao 宝马山道
'bao'ma'shan'dao'tian'bao'da'sha'jing'hao'da'sha 宝马山道天宝大厦景豪大厦
'bao'ma'shan'hua'yuan 宝马山花园
'bao'ma'shan'zong'zhan 宝马山总站
'bao'ma'tai 宝马台
'bao'ming'yuan 宝明苑
'bao'ning'lu 宝宁路
'bao'pei'yuan 宝佩苑
'bao'qi'li'jie 宝其利街
'bao'ren'lou 宝仁楼
'bao'shan'dao 宝珊道
'bao'shi'da'sha 宝石大厦
'bao'shi'lou 宝石楼
'bao'shi'xi'yuan 宝石戏院
'bao'shun'lu 宝顺路
'bao'tai'jie 保泰街
'bao'tang'xia'cun 宝塘下邨
'bao'tian 宝田
'bao'tian'cun 宝田邨
'bao'tian'zhong'zhuan'fang'wu 宝田中转房屋
'bao'tian'zong'zhan 宝田总站
'bao'wen'jie 宝文街
'bao'xi'hu'da'sha 宝西湖大厦
'bao'xi'yuan 宝熙苑
'bao'xiang'jie 宝乡街
'bao'xiang'qiao 宝乡桥
'bao'xue'yi'yuan 宝血医院
'bao'ya'yuan 宝雅苑
'bao'ye'da'sha 宝业大厦
'bao'ye'jie 宝业街
'bao'yi'hua'yuan 宝怡花园
'bao'ying'hua'yuan 宝盈花园
'bao'yu'ge 宝玉阁
'bao'yun'dao 宝云道
'bei'ao 贝澳
'bei'ao'lao'wei'cun 贝澳老围村
'bei'ao'luo'wu'cun 贝澳罗屋村
'bei'ao'tai'gu'du'jia'wu 贝澳太古渡假屋
'bei'di'jie 北帝街
'bei'di'miao 北帝庙
'bei'gang 北港
'bei'gong'jie 北拱街
'bei'hai'jie 北海街
'bei'hai'jiu'dian 北海酒店
'bei'hai'zhong'xin 北海中心
'bei'he'jie 北河街
'bei'he'jie'jie'shi 北河街街市
'bei'jiao 北角
'bei'jiao'bao'lei'jie'zong'zhan 北角堡垒街总站
'bei'jiao'cheng'zhong'xin 北角城中心
'bei'jiao'cun'ma'tou 北角村码头
'bei'jiao'dao 北角道
'bei'jiao'guan'li'xiao'xue 北角官立小学
'bei'jiao'ma'tou 北角码头
'bei'jiao'pei'shui'ku'you'le'chang 北角配水库游乐场
'bei'jiao'xiao'fang'ju 北角消防局
'bei'jiao'zheng'fu'he'shu 北角政府合署
'bei'jiao'zong'zhan 北角总站
'bei'jie 北街
'bei'jing'dao 北京道
'bei'kui'yong'jian'kang'yuan 北葵涌健康院
'bei'kui'yong'jie'shi 北葵涌街市
'bei'kui'yong'yong'chi 北葵涌泳池
'bei'kui'yong'you'yong'chi 北葵涌游泳池
'bei'li'jie 卑利街
'bei'lu'zha'jie 卑路乍街
'bei'lu'zha'wan 卑路乍湾
'bei'lu'zha'wan'gong'yuan 卑路乍湾公园
'bei'qu'gong'yuan'bei'men 北区公园北门
'bei'qu'gong'yuan'nan'men 北区公园南门
'bei'qu'yi'yuan 北区医院
'bei'qu'yun'dong'chang 北区运动场
'bei'sha'wan 贝沙湾
'bei'sha'wan'nan'wan 贝沙湾南湾
'bei'tan 北潭
'bei'tan'ao 北潭凹
'bei'tan'ao'guan'li'zhan 北潭凹管理站
'bei'tan'yong 北潭涌
'bei'tan'yong'ba'shi'zong'zhan 北潭涌巴士总站
'bei'ting'che'chang 北停车场
'bei'wei 北围
'bei'wei'cun 北围村
'bei'zha 北闸
'bi'cui'hua'yuan 碧翠花园
'bi'da'jie 毕打街
'bi'di'ban'dao 碧堤半岛
'bi'di'ban'dao'zong'zhan 碧堤半岛总站
'bi'feng'lu 璧峰路
'bi'hai'ge 碧海阁
'bi'hai'lan'tian 碧海蓝天
'bi'hai'lou 碧海楼
'bi'hai'yuan 碧海园
'bi'hao'hua'yuan 碧豪花园
'bi'hu'gong'chang 庇护工场
'bi'hua'hua'yuan 碧华花园
'bi'jia'shan'feng 笔架山峰
'bi'jia'shan'hua'yuan 毕架山花园
'bi'jia'shan'hua'yuan 笔架山花园
'bi'jia'shan'xiao'xue 毕架山小学
'bi'jia'shan'yi'hao 毕架山一号
'bi'jie 弼街
'bi'jie 碧街
'bi'jie'kou 弼街口
'bi'la'shan 毕拉山
'bi'la'shan'dao 毕拉山道
'bi'la'shan'jing 毕拉山径
'bi'li'dao 碧荔道
'bi'li'jie 庇利街
'bi'li'luo'shi'nv'zi'zhong'xue 庇理罗士女子中学
'bi'li'yuan 碧丽苑
'bi'lv'lou 碧绿楼
'bi'sha'lu 碧沙路
'bi'tao'xuan 碧涛轩
'bi'wu 壁屋
'bi'wu'cheng'jiao'suo 壁屋惩教所
'bi'xia'hua'yuan 碧霞花园
'bi'yao'wan 碧瑶湾
'bi'yuan 碧苑
'bian'ning'dun'jie 边宁顿街
'bie'shu'yi'ju 别树一居
'bin'hai'jie 滨海街
'bin'jing'hua'yuan 滨景花园
'bin'yi'guan 殡仪馆
'bing'gang 丙岗
'bing'lang'wan 槟榔湾
'bo'ai'ao'tou 博爱凹头
'bo'ai'yi'yuan 博爱医院
'bo'ai'yi'yuan'ce 博爱医院侧
'bo'dao'yi'yuan 播道医院
'bo'di 波地
'bo'dian'zha'jie 砵典乍街
'bo'fu'lin'cun 薄扶林村
'bo'fu'lin'dao 薄扶林道
'bo'fu'lin'dao'ma'li'yi'yuan'xin'yuan 薄扶林道玛丽医院新院
'bo'fu'lin'dao'pu'fei'lu'lu'kou 薄扶林道蒲飞路路口
'bo'fu'lin'dao'you'le'chang 薄扶林道游乐场
'bo'fu'lin'gou'fang 薄扶林狗房
'bo'fu'lin'hua'yuan 薄扶林花园
'bo'fu'lin'ji'neng'zhong'xin 薄扶林技能中心
'bo'fu'lin'shui'tang'dao 薄扶林水塘道
'bo'fu'lin'xiao'fang'ju 薄扶林消防局
'bo'gong'ao 伯公坳
'bo'jue'jie 伯爵街
'bo'kang'ba'shi'zong'zhan 博康巴士总站
'bo'kang'cun 博康邨
'bo'lan'guan 博览馆
'bo'lan'jie 砵兰街
'bo'lao'dao 波老道
'bo'luo'she 菠萝輋
'bo'si'fu'dao 波斯富道
'bo'si'fu'jie 波斯富街
'bo'wen'jie 博文街
'bo'xie'jie 波鞋街
'bu'dai'ao'cun'lu 布袋澳村路
'bu'ge'zai'cun 布格仔村
'bu'si'dao 布思道
'bu'xin'pai 布心排
'cai'cheng'lou 彩诚楼
'cai'de'cun 彩德邨
'cai'de'cun'cai'ren'lou 彩德邨彩仁楼
'cai'de'cun'cai'xian'lou 彩德邨彩贤楼
'cai'de'shang'chang 彩德商场
'cai'fu'cun 彩福邨
'cai'fu'ge 彩富阁
'cai'gui'ge 彩贵阁
'cai'hong 彩虹
'cai'hong'cun 彩虹邨
'cai'hong'cun'dan'feng'lou 彩虹邨丹凤楼
'cai'hong'cun'jin'yun'lou 彩虹邨锦云楼
'cai'hong'dao 彩虹道
'cai'hong'dao'you'le'chang 彩虹道游乐场
'cai'hong'di'tie'zhan 彩虹地铁站
'cai'hong'gang'tie'zhan 彩虹港铁站
'cai'hong'gong'gong'jiao'tong'zong'zhan 彩虹公共交通总站
'cai'hong'jiao'hui'chu 彩虹交汇处
'cai'hong'tie'lu'zhan 彩虹铁路站
'cai'hong'zhan 彩虹站
'cai'hong'zong'zhan 彩虹总站
'cai'hui'hua'yuan 彩晖花园
'cai'long 彩龙
'cai'ming 彩明
'cai'ming'yuan 彩明苑
'cai'ming'yun'shu'jiao'hui'chu 彩明运输交汇处
'cai'pu'yuan'cai'bi'ge 彩蒲苑彩碧阁
'cai'pu'yuan'cai'yan'ge 彩蒲苑彩颜阁
'cai'rong'lu 彩荣路
'cai'rong'lu'ba'shi'zhan 彩荣路巴士站
'cai'xi'dao 彩禧道
'cai'xia'cun 彩霞邨
'cai'xia'cun'dui'mian'cai'yi'ju 彩霞邨对面彩颐居
'cai'ye'ting 采叶庭
'cai'yi'hua'yuan 采颐花园
'cai'yi'qiao 蔡意桥
'cai'ying'cun 彩盈邨
'cai'ying'cun'ying'an'lou 彩盈邨盈安楼
'cai'ying'cun'ying'shun'lou 彩盈邨盈顺楼
'cai'yuan'zong'zhan 彩园总站
'cai'yun 彩云
'cai'yun'cun 彩云邨
'cai'yun'cun'bai'hong'lou 彩云邨白虹楼
'cai'yun'cun'luo'che 彩云邨落车
'cai'yun'cun'zong'zhan 彩云邨总站
'cai'yun'di'san'qi'shang'yi 彩云第三期商埸
'cai'yun'er'qi'shang'chang'dui'mian 彩云二期商场对面
'cai'yun'shang'yi 彩云商埸
'cai'yun'sheng'ruo'se'xiao'xue 彩云圣若瑟小学
'cai'yun'zong'zhan 彩云总站
'cai'zhan 菜站
'cao'di'gun'qiu'chang 草地滚球场
'cao'dui'xia 草堆下
'cao'gong'tan'hu'wai'kang'le'zhong'xin 曹公潭户外康乐中心
'cao'gong'tan'kang'le'zhong'xin 曹公潭康乐中心
'ceng'bi'shan 曾壁山
'ceng'bi'shan'zhong'xue 曾壁山中学
'ceng'bi'shan'zhong'xue 曾璧山中学
'ceng'da'wu 曾大屋
'ceng'mei'qian'xi'xue'xiao 曾梅千禧学校
'cha'guo'ling 茶果岭
'chai'wan 柴湾
'chai'wan'dao 柴湾道
'chai'wan'di'tie 柴湾地铁
'chai'wan'fen'xiao 柴湾分校
'chai'wan'gong'chang'cun 柴湾工厂邨
'chai'wan'gong'ye'cheng 柴湾工业城
'chai'wan'gong'yuan 柴湾公园
'chai'wan'jiao'jie 柴湾角街
'chai'wan'jiu'hu'che'zhan 柴湾救护车站
'chai'wan'jiu'hu'zhan 柴湾救护站
'chai'wan'she'qu'zhong'xin 柴湾社区中心
'chai'wan'zhan 柴湾站
'chang'an 长安
'chang'an'ba'shi'zong'zhan 长安巴士总站
'chang'an'cun 长安邨
'chang'an'cun'an'mei'lou 长安邨安湄楼
'chang'an'jie 常安街
'chang'da'lu'yi'hao'ting'che'chang 畅达路一号停车场
'chang'fa'cun 长发邨
'chang'fa'jie 长发街
'chang'fu'jie 常富街
'chang'fu'tou 长甫头
'chang'he'jie 常和街
'chang'he'jie'zong'zhan 常和街总站
'chang'heng 长亨
'chang'heng'ba'shi'zong'zhan 长亨巴士总站
'chang'heng'cun 长亨邨
'chang'heng'cun'ba'shi'zong'zhan 长亨邨巴士总站
'chang'heng'cun'shang'chang 长亨邨商场
'chang'heng'cun'ting'che'chang 长亨邨停车场
'chang'hong 长宏
'chang'hong'ba'shi'zong'zhan 长宏巴士总站
'chang'hong'cun 长宏邨
'chang'hua'jie 昌华街
'chang'jiang'dian'zi 长江电子
'chang'jiang'gong'yuan 长江公园
'chang'jiang'ji'tuan'zhong'xin 长江集团中心
'chang'kang'ba'shi'zong'zhan 长康巴士总站
'chang'kang'cun 长康邨
'chang'kang'cun'kang'feng'lou 长康邨康丰楼
'chang'kang'cun'kang'fu'lou 长康邨康富楼
'chang'kang'cun'kang'shun'lou 长康邨康顺楼
'chang'kang'cun'kang'xiang'lou 长康邨康祥楼
'chang'kang'jie 常康街
'chang'kang'jie 长康街
'chang'le'cun 常乐邨
'chang'le'jie 常乐街
'chang'le'jie'zong'zhan 长乐街总站
'chang'li'jie 长荔街
'chang'li'wei'jie 长沥尾街
'chang'lian'lu 畅连路
'chang'mao'jie 常茂街
'chang'ning'lu 常宁路
'chang'qing'ba'shi'zong'zhan 长青巴士总站
'chang'qing'cun 长青邨
'chang'qing'cun'qing'huai'lou 长青邨青槐楼
'chang'qing'cun'qing'mei'lou 长青邨青梅楼
'chang'qing'cun'qing'tao'lou 长青邨青桃楼
'chang'rong'lu 昌荣路
'chang'rong'lu'hui'xuan'chu 昌荣路回旋处
'chang'rong'lu'xin'feng'zhong'xin 昌荣路新丰中心
'chang'sha'cun'die'gang 长沙村蝶岗
'chang'sha'da'qiao 长沙大桥
'chang'sha'hai'tan 长沙海滩
'chang'sha'jie 长沙街
'chang'sha'jing'shu 长沙警署
'chang'sha'li'bin'bie'shu 长沙丽滨别墅
'chang'sha'shang'cun 长沙上村
'chang'sha'wan 长沙湾
'chang'sha'wan'ba'shi'zong'zhan 长沙湾巴士总站
'chang'sha'wan'chang'li'jie 长沙湾长荔街
'chang'sha'wan'di'tie'zhan 长沙湾地铁站
'chang'sha'wan'dong'jing'jie 长沙湾东京街
'chang'sha'wan'gan'quan'jie'nan'zong'zhan 长沙湾甘泉街南总站
'chang'sha'wan'gang'tie 长沙湾港铁
'chang'sha'wan'guang'chang 长沙湾广场
'chang'sha'wan'guang'chang'jie 长沙湾光昌街
'chang'sha'wan'jing 长沙湾径
'chang'sha'wan'sai'ma'hui'zhen'liao'suo 长沙湾赛马会诊疗所
'chang'sha'wan'tie'lu'zhan 长沙湾铁路站
'chang'sha'wan'xing'hua'jie 长沙湾兴华街
'chang'sha'wan'you'le'chang 长沙湾游乐场
'chang'sha'wan'you'zheng'ju 长沙湾邮政局
'chang'sha'wan'zhan 长沙湾站
'chang'sha'wan'zheng'fu'he'shu 长沙湾政府合署
'chang'sha'xia'cun 长沙下村
'chang'sha'xiao'fang'ju 长沙消防局
'chang'sheng'jie 常盛街
'chang'sheng'yuan 昌盛苑
'chang'shun'jie 长顺街
'chang'tai'da'sha 昌泰大厦
'chang'tao'ge 昌涛阁
'chang'tian'lou 昌田楼
'chang'yi'dao 常怡道
'chang'yi'jie 长义街
'chang'yue'dao 常悦道
'chang'yue'lou 常悦楼
'chang'zhou 长洲
'chang'zhou'ma'tou 长洲码头
'chao'guang'jie 朝光街
'chao'ji'yi'hao'huo'zhan 超级一号货站
'chao'jiang'chun 潮江春
'chao'shang'zhong'xue 潮商中学
'chao'zhou'xiang 潮州巷
'che'gong'miao 车公庙
'che'gong'miao'huo'che'zhan 车公庙火车站
'che'gong'miao'lu 车公庙路
'che'qi'shan 扯旗山
'chen'bai'sha'ji'nian'zhong'xue 陈白沙纪念中学
'chen'hui'xue'xiao 晨辉学校
'chen'qing 陈庆
'cheng'an'jie 成安街
'cheng'ba'che'chang 城巴车厂
'cheng'du'dao 成都道
'cheng'he'dao 成和道
'cheng'hui'guo'yuan 成辉果园
'cheng'men'gu'yong'chi 城门谷泳池
'cheng'men'shui'tang 城门水塘
'cheng'men'sui'dao 城门隧道
'cheng'men'sui'dao'zhuan'che'zhan 城门隧道转车站
'cheng'shi'da'xue 城市大学
'cheng'shi'hua'yuan 城市花园
'cheng'xi'gong'yuan 城西公园
'cheng'ye'gong'ye'da'sha 成业工业大厦
'cheng'ye'jie'xiu'qi'gong'yuan 成业街休憩公园
'chi'jing 赤径
'chi'la'jiao 赤鱲角
'chi'la'jiao'nan'lu 赤鱲角南路
'chi'la'jiao'xiao'fang'ju 赤鱲角消防局
'chi'li'jiao'cun 赤立角村
'chi'ni'ping 赤泥坪
'chi'zhou 赤洲
'chi'zhu 赤柱
'chi'zhu'cheng'jiao'shu 赤柱惩教署
'chi'zhu'cun 赤柱村
'chi'zhu'gang'chou'shui'zhan 赤柱岗抽水站
'chi'zhu'gang'dao 赤柱岗道
'chi'zhu'guang'chang 赤柱广场
'chi'zhu'jian'yu 赤柱监狱
'chi'zhu'jing'shu 赤柱警署
'chi'zhu'pao'tai 赤柱炮台
'chi'zhu'shi'ji 赤柱市集
'chi'zhu'tan'dao 赤柱滩道
'chi'zhu'xia'dao 赤柱峡道
'chi'zhu'xia'dao'jiao'hui'chu 赤柱峡道交汇处
'chi'zhu'yong'tan 赤柱泳滩
'chi'zhu'zheng'tan 赤柱正滩
'chong'an'jie 崇安街
'chong'de'jie 崇德街
'chong'guang 崇光
'chong'guang'bai'huo 崇光百货
'chong'hua'jie 崇华街
'chong'hua'lu 重华路
'chong'ji'shu'yuan 崇基书院
'chong'ji'xue'yuan 崇基学院
'chong'jie'jie 崇洁街
'chong'kan'jiao'dao 舂磡角道
'chong'kan'jiao'hai'tan 舂坎角海滩
'chong'kan'jiao'xiao'fang'ju 舂坎角消防局
'chong'kan'jiao'yong'tan 舂坎角泳滩
'chong'ling'jie 崇龄街
'chong'qing'da'sha 重庆大厦
'chong'ren'jie 崇仁街
'chong'shan'xin'cun 崇山新村
'chong'wen'jie 崇文街
'chong'xin'jie 崇信街
'chong'zheng'cai'zhan 崇正菜站
'chong'zheng'gong'li'xue'xiao 崇正公立学校
'chou'shui'zhan 抽水站
'chu'kou 出口
'chuan'chang 船厂
'chuan'long 川龙
'chuan'long'jie 川龙街
'chuan'wan 船湾
'chuan'wan'bi'feng'tang 船湾避风塘
'chuan'wan'jiao'ye'gong'yuan 船湾郊野公园
'chuan'wu'li 船坞里
'chuan'yao'tai 传耀台
'chuang'fa 创发
'chuang'fu'dao 创富道
'chuang'ji'zhi'cheng 创纪之城
'chuang'jia'hui 创价会
'chuang'xin'lu'di'er'zhan 创新路第二站
'chuang'xin'lu'di'san'zhan 创新路第三站
'chuang'xin'lu'di'si'zhan 创新路第四站
'chuang'xin'lu'di'wu'zhan 创新路第五站
'chuang'xin'lu'di'yi'zhan 创新路第一站
'chuang'xing'guang'chang 创兴广场
'chuang'yi'yi'shu'zhong'xin 创意艺术中心
'chun'hui'dao 春辉道
'ci'ai'yuan 慈爱苑
'ci'ai'yuan'san'qi 慈爱苑三期
'ci'an'yuan 慈安苑
'ci'kang'cun 慈康邨
'ci'le'cun'le'man'lou 慈乐邨乐满楼
'ci'min'cun 慈民邨
'ci'min'cun'ting'che'chang 慈民邨停车场
'ci'shi'hu'yang'yuan 慈氏护养院
'ci'tang'cun 祠堂村
'ci'yun'ge 慈云阁
'ci'yun'shan 慈云山
'ci'yun'shan'cun'zhong'yang'you'le'chang 慈云山邨中央游乐场
'ci'yun'shan'fu'wu'da'lou 慈云山服务大楼
'ci'yun'shan'san'qi 慈云山三期
'ci'yun'shan'zhong'xin 慈云山中心
'ci'yun'shan'zhong'yang'you'le'chang 慈云山中央游乐场
'ci'zheng'cun 慈正邨
'ci'zheng'cun'fu'wu'da'lou 慈正邨服务大楼
'ci'zheng'cun'ting'che'chang 慈正邨停车场
'cui'bai'lou 翠柏楼
'cui'feng'tai 翠丰台
'cui'feng'yuan 翠峰园
'cui'hai'bie'shu 翠海别墅
'cui'heng'cun 翠亨邨
'cui'hu'hua'yuan 翠湖花园
'cui'hu'ju 翠湖居
'cui'hu'zhan 翠湖站
'cui'hua'da'sha 翠华大厦
'cui'hui'tai 翠晖台
'cui'jing'hua'yuan 翠景花园
'cui'jing'tai 翠景台
'cui'li'hua'yuan 翠丽花园
'cui'lin 翠林
'cui'lin'ba'shi'zong'zhan 翠琳巴士总站
'cui'lin'cun 翠林邨
'cui'lin'hua'yuan 翠林花园
'cui'lin'lu 翠琳路
'cui'lin'zong'zhan 翠林总站
'cui'ning'hua'yuan 翠宁花园
'cui'ping'dao 翠屏道
'cui'ping'hua'yuan 翠屏花园
'cui'shan'ge 翠山阁
'cui'shi'lou 翠石楼
'cui'tang 翠塘
'cui'tang'hua'yuan 翠塘花园
'cui'tao'ge 翠涛阁
'cui'wan'cun 翠湾邨
'cui'wan'cun'cui'shou'lou 翠湾邨翠寿楼
'cui'yao'yuan 翠瑶苑
'cui'yi'hua'yuan 翠怡花园
'cui'yong'hua'ting 翠拥华庭
'cui'yu'xuan 翠玉轩
'cui'yuan 翠苑
'cui'yun'hua'ting 翠韵华庭
'cui'zhu'hua'yuan 翠竹花园
'cui'zhu'hua'yuan'si'zuo 翠竹花园四座
'cui'zhu'hua'yuan'wu'zuo 翠竹花园五座
'cui'zhu'hua'yuan'yi'zuo 翠竹花园一座
'cui'zhu'shang'chang 翠竹商场
'cui'zi'lou 翠梓楼
'cun'kou 村口
'cun'nan'dao 村南道
'cun'rong'lou 邨荣楼
'da'an 大庵
'da'ao 大澳
