'ai'er'bu'lang'ji 埃尔布朗基
'an'zhuang'he'jian'yan'jie'duan 安装和检验阶段
'an'zhuang'ji'shu 安装技术
'an'zhuang'tiao'shi 安装调试
'an'zi'mu'biao'shun'xu 按字母表顺序
'ao'bo'ding'wu'qi'shi'yan'chang 奥伯丁武器试验场
'ao'duo'bian'xing 凹多边形
'ao'ti 凹体
'ao'ting 奥汀
'ao'you 傲游
'ao'you'an'quan'geng'xin 傲游安全更新
'ao'you'an'quan'jian'kong 傲游安全监控
'ao'you'bu'luo'ge 傲游部落格
'ao'you'liu'lan'qi 傲游浏览器
'ao'you'lun'tan 傲游论坛
'ao'you'wang'zhan 傲游网站
'ao'you'zhi 傲游志
'a'pa'wang 阿帕网
'ba'bi'te'zu 八比特组
'ba'cha'shu 八叉树
'ba'huang'hou'wen'ti 八皇后问题
'bai'ban'fu'wu 白板服务
'bai'du 百度
'bai'du'gong'ju'lan 百度工具栏
'bai'du'kong'jian'liu'yan'zhu'shou 百度空间留言助手
'bai'he 白盒
'bai'he'ce'shi 白盒测试
'bai'ling'fan'zui 白领犯罪
'bai'mao'xi'tong'wang 白猫系统王
'bai'mao'zi 白帽子
'bai'mei'yuan'bi'ji'ben 百美元笔记本
'bai'ming'dan'ku 白名单库
'bai'tang'hu'lian 百堂互联
'bai'ti 白体
'bai'tian 白天
'bai'wan'he'zi 百万赫兹
'bai'xiang 白箱
'bai'xiang'ce'shi 白箱测试
'bai'xiao'hao'zhou'qi 白消耗周期
'bai'zao'sheng'fa'sheng'qi 白噪声发生器
'bai'zhan'ting'tan'hui 拜占庭弹回
'bai'zhao'wang'ka 百兆网卡
'ba'jin'zhi 八进制
'ba'jin'zhi'shu'zi 八进制数字
'ba'ke'si 巴克斯
'ba'ke'si'fan'shi 巴克斯范式
'ban'ben 版本
'ban'ben'bian'cheng 版本编程
'ban'ben'ce'lue 版本策略
'ban'ben'geng'xin 版本更新
'ban'ben'guan'li 版本管理
'ban'ben'hao 版本号
'ban'ben'jian'ce 版本检测
'ban'ben'kong'zhi 版本控制
'ban'ben'sheng'ji 版本升级
'ban'dao'ti'cun'chu'qi 半导体存储器
'bang'ding 绑定
'bang'ding'yu'ming 绑定域名
'ban'gong'guo'cheng 办公过程
'ban'gong'huo'dong 办公活动
'ban'gong'liu'cheng 办公流程
'ban'gong'xin'xi'xi'tong 办公信息系统
'ban'gong'zi'dong'hua 办公自动化
'ban'gong'zi'dong'hua'mo'xing 办公自动化模型
'bang'shou'zhu'ti 帮手主体
'bang'zhu'he'zhi'chi 帮助和支持
'bang'zhu'he'zhi'chi'zhong'xin 帮助和支持中心
'bang'zhu'mu'lu 帮助目录
'bang'zhu'zhu'ti 帮助主体
'ban'jian'qi 半减器
'ban'jia'qi 半加器
'ban'kai'fang'shi'sao'miao 半开放式扫描
'ban'kai'sao'miao 半开扫描
'ban'lian'jie 半联结
'ban'lian'jie 半连接
'ban'nei'shi'zhong'fen'pei 板内时钟分配
'ban'ruo'mi'yao 半弱密钥
'ban'se'diao 半色调
'ban'se'diao'tu'an 半色调图案
'ban'se'diao'tu'xiang 半色调图像
'ban'shang'dian'yuan'fen'pei 板上电源分配
'ban'shi'wu'fang'zhen 半实物仿真
'ban'shuang'gong'chuan'shu 半双工传输
'ban'sui'tiao'jian 伴随条件
'ban'sui'xing'bing'du 伴随型病毒
'ban'tou'ming 半透明
'ban'tu'e'xi'tong 半图厄系统
'ban'wai'shi'zhong'fen'pei 板外时钟分配
'ban'xian'xing'ji 半线性集
'ban'ying 半影
'bao'biao 报表
'bao'biao'sheng'cheng'cheng'xu 报表生成程序
'bao'biao'sheng'cheng'yu'yan 报表生成语言
'bao'biao'shu'xie'cheng'xu 报表书写程序
'bao'biao'zu'jian 报表组件
'bao'chi'yi'lai'fen'jie 保持依赖分解
'bao'chou'fen'xi 报酬分析
'bao'cun'dang'qian'biao'dan 保存当前表单
'bao'cun'geng'gai 保存更改
'bao'cun'liu'lan'jin'cheng 保存浏览进程
'bao'cun'mo'ren'wei'zhi 保存默认位置
'bao'cun'qu 保存区
'bao'cun'wang'ye 保存网页
'bao'feng 包封
'bao'feng'ying'yin 暴风影音
'bao'fu'xing'gu'yuan 报复性雇员
'bao'gao'yu'yan 报告语言
'bao'guo'lv 包过滤
'bao'guo'lv'ji'shu 包过滤技术
'bao'han'wen'jian 包含文件
'bao'he'ci'ji'lu 饱和磁记录
'bao'hu 保护
'bao'hu'cuo'shi 保护措施
'bao'hu'di 保护地
'bao'hu'dui'lie'qu 保护队列区
'bao'hu'fang'shi 保护方式
'bao'hu'fang'wen 保护访问
'bao'jia'mi 包加密
'bao'jiao'huan 包交换
'bao'jiao'huan'gong'yong'shu'ju'wang 包交换公用数据网
'bao'jiao'huan'shu'ju'wang 包交换数据网
'bao'jiao'huan'wang 包交换网
'bao'jiao'huan'zong'xian 包交换总线
'bao'jing 报警
'bao'jing'fu'wei 报警复位
'bao'jing'xian'shi 报警显示
'bao'jing'xin'hao 报警信号
'bao'jing'zhan 报警站
'bao'lei'zhu'ji 堡垒主机
'bao'liu'jin'wei'jia'fa'qi 保留进位加法器
'bao'liu'juan 保留卷
'bao'liu'nei'cun 保留内存
'bao'liu'ye'xuan'xiang 保留页选项
'bao'liu'zhan 保留站
'bao'liu'zi 保留字
'bao'lu 暴露
'bao'mi 保密
'bao'mi'cheng'xu 保密程序
'bao'mi'fen'ji 保密分级
'bao'mi'ji'bie 保密级别
'bao'mi'shou'xuan'ping'tai'xiang'mu 保密首选平台项目
'bao'mi'xing 保密性
'bao'mo 薄膜
'bao'mo'ci'pan 薄膜磁盘
'bao'mo'ci'tou 薄膜磁头
'bao'mo'dian'lu 薄膜电路
'bao'mo'jian'pan 薄膜键盘
'bao'mo'jing'ti'guan 薄膜晶体管
'bao'mo'jing'ti'guan'ye'jing'xian'shi'qi 薄膜晶体管液晶显示器
'bao'shi'zhong'duan 包式终端
'bao'wei'he 包围盒
'bao'wei'he'ce'shi 包围盒测试
'bao'wen 报文
'bao'wen'bu'huo 报文捕获
'bao'wen'jia'mi 报文加密
'bao'wen'jian'bie 报文鉴别
'bao'wen'jian'bie'ma 报文鉴别码
'bao'wen'jiao'huan 报文交换
'bao'wen'zhai'yao 报文摘要
'bao'wen'zhai'yi 报文摘译
'bao'xing'cha'zhi 保形插值
'bao'zheng 保证
'bao'zhuang 包装
'bao'zhuang'chai'qi 包装拆器
'bao'zhuang'lei 包装类
'ba'wei 八位
'bei'ban 背板
'bei'bao'wen'ti 背包问题
'bei'ce'bian'liang 被测变量
'bei'diao'yong'zhe 被调用者
'bei'dong'cha'xun 被动查询
'bei'dong'mo'shi'mi'ma'duan'yu 被动模式密码短语
'bei'dong'wei'xie 被动威胁
'bei'dong'zhan 被动站
'bei'er 贝尔
'bei'fang'di'zhi 被访地址
'bei'fen 备份
'bei'fen'cao'zuo 备份操作
'bei'fen'gui'cheng 备份规程
'bei'fen'guo'cheng 备份过程
'bei'fen'ji'hua 备份计划
'bei'fen'wen'jian 备份文件
'bei'fen'yu'hui'fu 备份与恢复
'bei'fen'yu'kong'zhi'qi 备份域控制器
'bei'fen'zhi'ding'lu'you'qi 备份指定路由器
'bei'ji'ai'qu'mian 贝济埃曲面
'bei'ji'ai'qu'xian 贝济埃曲线
'bei'jia'mi'wen'ben 被加密文本
'bei'jian 备件
'bei'jing'se 背景色
'bei'jing'se'bi'li 背景色比例
'bei'jing'tu'ceng 背景图层
'bei'mi'du'ruan'pan 倍密度软盘
'bei'sai'er 贝赛尔
'bei'sai'er'qu'xian 贝赛尔曲线
'bei'shi'tong'ji 贝式统计
'bei'shi'xue'xi 贝式学习
'bei'shou'quan 被授权
'bei'ye'si'ding'li 贝叶斯定理
'bei'ye'si'fen'lei'qi 贝叶斯分类器
'bei'ye'si'fen'xi 贝叶斯分析
'bei'ye'si'jue'ce'fang'fa 贝叶斯决策方法
'bei'ye'si'jue'ce'gui'ze 贝叶斯决策规则
'bei'ye'si'luo'ji 贝叶斯逻辑
'bei'ye'si'tui'li 贝叶斯推理
'bei'ye'si'tui'li'wang'luo 贝叶斯推理网络
'bei'yong 备用
'bei'yong'rong'yu 备用冗余
'bei'yong'ti'dai'rong'yu 备用替代冗余
'bei'yong'xi'tong 备用系统
'ben'di'cun'fang'di'zhi 本地存放地址
'ben'di'dai'ma 本地代码
'ben'di'di'zhi 本地地址
'ben'di'di'zhi'guan'li 本地地址管理
'ben'di'hua 本地化
'ben'di'jia'dian 本地加电
'ben'di'jie'kou 本地接口
'ben'di'wang'luo 本地网络
'ben'di'zhong'duan 本地终端
'beng'kui 崩溃
'beng'zuo'yong'yin'li 泵作用引理
'ben'ji'dai'ma 本机代码
'ben'ti'lun 本体论
'ben'tu'an'quan'fa'an 本土安全法案
'ben'ying 本影
'ben'yuan'yan'yi 本原演绎
'ben'zhi'shi'xiao 本质失效
'bian'can 变参
'bian'can'han'shu 变参函数
'bian'chang'bian'ma 变长编码
'bian'cheng 编程
'bian'cheng'yu'yan 编程语言
'bian'cheng'zhi'du'cun'chu'qi 编程只读存储器
'bian'du 变度
'bian'fu'gai 边覆盖
'bian'geng'zhuan'chu 变更转储
'bian'hu 辩护
'bian'hua'jian'ce 变化检测
'bian'huan 变换
'bian'huan'bian'ma 变换编码
'bian'huan'chu'li 变换处理
'bian'huan'fen'xi 变换分析
'bian'huan'gui'ze 变换规则
'bian'huan'pang'cha'huan'chong'qi 变换旁查缓冲器
'bian'huan'xian'xing'huan'chong'qi 变换先行缓冲器
'bian'huan'xi'tong 变换系统
'bian'huan'yu'yi 变换语义
'bian'huan'zhong'xin 变换中心
'bian'jian'shi'cun'chu'qi 便笺式存储器
'bian'jiao 变焦
'bian'ji'cheng'shi 编辑程式
'bian'ji'cheng'xu 编辑程序
'bian'jie 边界
'bian'jie'bao'hu'ji'zhi 边界保护机制
'bian'jie'bian'yi 边界变异
'bian'jie'biao'shi 边界表示
'bian'jie'cuo'wu 边界错误
'bian'jie'gen'zong 边界跟踪
'bian'jie'jian'ce 边界检测
'bian'jie'jian'cha 边界检查
'bian'jie'jian'mo 边界建模
'bian'jie'ji'cun'qi 边界寄存器
'bian'jie'kuan'du 边界宽度
'bian'jie'lu'you'qi 边界路由器
'bian'jie'ma'qi 编解码器
'bian'jie'mo'xing 边界模型
'bian'jie'sao'miao 边界扫描
'bian'jie'shi'fang'huo'qiang 边界式防火墙
'bian'jie'tiao'jian 边界条件
'bian'jie'wang'guan 边界网关
'bian'jie'wang'guan'xie'yi 边界网关协议
'bian'jie'xiang'su 边界像素
'bian'jie'xi'jie 边界细节
'bian'ji'guo'lv'lie'biao 编辑过滤列表
'bian'ji'ju'li 编辑距离
'bian'ji'qi 编辑器
'bian'ji'ye'mian 编辑页面
'bian'kuang 边框
'bian'li 遍历
'bian'liang 变量
'bian'liang'biao 变量表
'bian'liang'hua'she'ji 变量化设计
'bian'liang'xun'huan'wei 变量循环尾
'bian'liu'qi 变流器
'bian'ma 编码
'bian'ma'biao'shi 编码表示
'bian'ma'bu 编码簿
'bian'ma'fa 编码法
'bian'ma'fang'fa 编码方法
'bian'ma'jie'ma'qi 编码解码器
'bian'ma'qi 编码器
'bian'ma'xiao'lv 编码效率
'bian'ma'xing'shi 编码形式
'bian'ma'zhi 编码值
'bian'ma'zi'fu 编码字符
'bian'ma'zi'fu'ji 编码字符集
'bian'mu 编目
'bian'ping'dian'lan 扁平电缆
'bian'ping'feng'zhuang 扁平封装
'bian'pin'qi 变频器
'bian'qian 变迁
'bian'qian'gui'ze 变迁规则
'bian'qian'shi'shi'su'lv 变迁实施速率
'bian'qian'xi'tong 变迁系统
'bian'qian'xu'lie 变迁序列
'bian'qian'zi'wang 变迁子网
'bian'xie'bian'du 边写边读
'bian'xie'shi'ji'suan'ji 便携式计算机
'bian'xing 变形
'bian'xing'zhuan'huan 变形转换
'bian'yan'chu'fa 边沿触发
'bian'yi 编译
'bian'yi 变异
'bian'yi'can'shu 编译参数
'bian'yi'cheng'xu 编译程序
'bian'yi'cheng'xu'de'bian'yi'cheng'xu 编译程序的编译程序
'bian'yi'cheng'xu'de'sheng'cheng'cheng'xu 编译程序的生成程序
'bian'yi'cheng'xu'gui'yue'yu'yan 编译程序规约语言
'bian'yi'lei'xing 编译类型
'bian'yi'qi 编译器
'bian'yi'shi 编译时
'bian'yi'shi'cuo'wu 编译时错误
'bian'yi'shu'fang'cha 变异数方差
'bian'yi'xing'yu'yan 编译型语言
'bian'yi'xi'tong 编译系统
'bian'yi'xuan'xiang 编译选项
'bian'yuan 边缘
'bian'yuan'cao'zuo 边缘操作
'bian'yuan'ce'shi 边缘测试
'bian'yuan'chu'fa'shi'zhong 边缘触发时钟
'bian'yuan'cuo'jue 边缘错觉
'bian'yuan'fan'hua 边缘泛化
'bian'yuan'fen'ge 边缘分割
'bian'yuan'gu'zhang 边缘故障
'bian'yuan'jian'ce 边缘检测
'bian'yuan'jian'hua 边缘简化
'bian'yuan'jian'yan 边缘检验
'bian'yuan'jing'du 边缘精度
'bian'yuan'ju'jiao 边缘聚焦
'bian'yuan'lian'jie 边缘连接
'bian'yuan'lian'jie'qi 边缘连接器
'bian'yuan'ni'he 边缘拟合
'bian'yuan'pi'pei 边缘匹配
'bian'yuan'suan'zi 边缘算子
'bian'yuan'tiao'zheng 边缘调整
'bian'yuan'ti'qu 边缘提取
'bian'yuan'tu'xiang 边缘图像
'bian'yuan'xiang'su 边缘像素
'bian'yuan'zeng'qiang 边缘增强
'bian'zhi 编址
'bian'zhi 变址
'bian'zhi'ji'cun'qi 变址寄存器
'biao'bu'ju 表布局
'biao'ceng'ge 表层格
'biao'chu'li 表处理
'biao'chu'li'yu'yan 表处理语言
'biao'diao'du 表调度
'biao'gang'li'lun 标杠理论
'biao'hao 标号
'biao'hao'hua'an'quan 标号化安全
'biao'hao'ke'da'shu 标号可达树
'biao'hao'pei'te'li'wang 标号佩特里网
'biao'ji'bian'liang 标记变量
'biao'ji'lei'xing 标记类型
'biao'ji'liu'lu 标记流路
'biao'ji'yue'du'ji 标记阅读机
'biao'jue'qi 表决器
'biao'jue'xi'tong 表决系统
'biao'liang 标量
'biao'liang'chu'li'qi 标量处理器
'biao'liang'ji'suan'ji 标量计算机
'biao'liang'liu'shui'xian 标量流水线
'biao'liang'shu'ju'liu'fen'xi 标量数据流分析
'biao'mian'an'zhuang'han'jie 表面安装焊接
'biao'mian'an'zhuang'ji'shu 表面安装技术
'biao'mian'an'zhuang'qi'jian 表面安装器件
'biao'mian'mo'hu 表面模糊
'biao'qian'fen'zu 标签分组
'biao'qian'ji 标签集
'biao'qian'kuan'du 标签宽度
'biao'qian'lan 标签栏
'biao'qian'ming 标签名
'biao'qian'tiao'zhuan 标签跳转
'biao'qian'yang'shi 标签样式
'biao'qian'yi'chu 标签移除
'biao'shi'ceng 表示层
'biao'tou 表头
'biao'xing 标星
'biao'yi'wei'jiao'huan'ji 表溢位交换机
'biao'yue'shu 表约束
'biao'zhi 标识
'biao'zhi 标志
'biao'zhi'bian'liang 标识变量
'biao'zhi'fu 标识符
'biao'zhi'fu 标志符
'biao'zhi'jian'bie 标识鉴别
'biao'zhi'mo'kuai 标识模块
'biao'zhi'quan'biao 标识权标
'biao'zhi'que'ren 标识确认
'biao'zhi'ti'qu 标志提取
'biao'zhi'xu'lie 标志序列
'biao'zhi'zheng'ming 标识证明
'biao'zhun 标准
'biao'zhun'cheng'xu'fa 标准程序法
'biao'zhun'cheng'xu'ku 标准程序库
'biao'zhun'chu'li'fang'shi 标准处理方式
'biao'zhun'cuo'wu'liu 标准错误流
'biao'zhun'dan'yuan 标准单元
'biao'zhun'dui'xiang 标准对象
'biao'zhun'fu'du'dai 标准幅度带
'biao'zhun'gong'ju'lan 标准工具栏
'biao'zhun'ku 标准库
'biao'zhun'niu'xie'dai 标准扭斜带
'biao'zhun'pei'zhi 标准配置
'biao'zhun'shi'shi'qi 标准实施器
'biao'zhun'shu'chu 标准输出
'biao'zhun'shu'chu'liu 标准输出流
'biao'zhun'shu'chu'wen'jian 标准输出文件
'biao'zhun'shu'ru 标准输入
'biao'zhun'shu'ru'liu 标准输入流
'biao'zhun'shu'ru'wen'jian 标准输入文件
'biao'zhun'su'du'dai 标准速度带
'biao'zhun'tong'yong'zhi'biao'yu'yan 标准通用置标语言
'biao'zhun'wen'jian 标准文件
'biao'zhun'xing'shi'xia'tui'zi'dong'ji 标准形式下推自动机
'biao'zhun'yu'yan 标准语言
'biao'zhun'zhong'duan 标准中断
'bi'bao 闭包
'bi'bei'fu'wu 必备服务
'bi'cuo 避错
'bie'ming 别名
'bie'ming'fen'xi 别名分析
'bi'he'dian'lu 闭合电路
'bi'he'huan'lu 闭合环路
'bi'hen'chang'du 笔痕长度
'bi'hen'chi'cun 笔痕尺寸
'bi'hen'xi'jie 笔痕细节
'bi'hen'ya'li 笔痕压力
'bi'he'shi 闭合式
'bi'he'yong'hu'qun 闭合用户群
'bi'hua 笔画
'bi'hua'bian'ma 笔画编码
'bi'hua'ma 笔画码
'bi'huan'dian'bo'tan'ce'qi 闭环电波探测器
'bi'huan'kong'zhi 闭环控制
'bi'hua'qing'xie 笔画倾斜
'bi'hua'xian'shi 笔画显示
'bi'jiao 比较
'bi'jiao'bing'jiao'huan 比较并交换
'bi'jiao'qi 比较器
'bi'jiao'qi'wang'luo 比较器网络
'bi'jiao'yu'yan'xue 比较语言学
'bi'ji'ben'dian'nao'chu'li'qi 笔记本电脑处理器
'bi'ji'ben'hua 笔记本化
'bi'ji'ben'shi'ji'suan'ji 笔记本式计算机
'bi'li'bian'huan 比例变换
'bi'li'dai 比例带
'bi'li'ji'fen'wei'fen'kong'zhi 比例积分微分控制
'bi'li'kong'zhi 比例控制
'bi'mian'suan'fa'can'shu 避免算法参数
'bing'chuan'hang'zhuan'huan'qi 并串行转换器
'bing'ding'li 并定理
'bing'du 病毒
'bing'du'ci'hui 病毒词汇
'bing'du'e'zuo'ju 病毒恶作剧
'bing'du'fang'zhi 病毒防治
'bing'du'qian'ming 病毒签名
'bing'du'yi'qing'jian'ce 病毒疫情监测
'bing'du'yuan 病毒园
'bing'du'zhi'ling'ma'mo'ni'fa 病毒指令码模拟法
'bing'fa 并发
'bing'fa'bian'qian 并发变迁
'bing'fa'cao'zuo'xi'tong 并发操作系统
'bing'fa'cheng'xu'she'ji 并发程序设计
'bing'fa'chu'li 并发处理
'bing'fa'du'bing'fa'xie 并发读并发写
'bing'fa'fang'zhen 并发仿真
'bing'fa'gong'li 并发公理
'bing'fa'guan'xi 并发关系
'bing'fa'gu'zhang'jian'ce 并发故障检测
'bing'fa'jin'cheng 并发进程
'bing'fa'kong'zhi 并发控制
'bing'fa'kong'zhi'ji'zhi 并发控制机制
'bing'fa'kong'zhi'xi'tong 并发控制系统
'bing'fa'mo'ni 并发模拟
'bing'fa'shu 并发数
'bing'fa'xin'xi'xi'tong 并发信息系统
'bing'he 冰河
'bing'lian'duan'jie 并联端接
'bing'lian'pi'pei 并联匹配
'bing'lie'lian'jie 并列连接
'bing'xing 并行
'bing'xing'bian'cheng'yu'yan 并行编程语言
'bing'xing'cao'zuo 并行操作
'bing'xing'cao'zuo'huan'jing 并行操作环境
'bing'xing'cha'zhao'cun'chu'qi 并行查找存储器
'bing'xing'cheng'xu'she'ji 并行程序设计
'bing'xing'chuan'shu 并行传输
'bing'xing'chu'li 并行处理
'bing'xing'chu'li'ji'cao'zuo'xi'tong 并行处理机操作系统
'bing'xing'chu'li'ji'shu 并行处理技术
'bing'xing'cun'chu'qi 并行存储器
'bing'xing'du 并行度
'bing'xing'duan'kou 并行端口
'bing'xing'duo'yuan'lian'jie 并行多元联结
'bing'xing'duo'yuan'lian'jie 并行多元连接
'bing'xing'er'yuan'lian'jie 并行二元联结
'bing'xing'er'yuan'lian'jie 并行二元连接
'bing'xing'fang'zhen 并行仿真
'bing'xing'gan'ran 并行感染
'bing'xing'gong'cheng 并行工程
'bing'xing'hua 并行化
'bing'xing'jia'fa'qi 并行加法器
'bing'xing'jian'mo 并行建模
'bing'xing'jie'kou 并行接口
'bing'xing'ji'suan 并行计算
'bing'xing'ji'suan'ji 并行计算机
'bing'xing'ji'suan'lun'ti 并行计算论题
'bing'xing'ju'fa'pou'xi 并行句法剖析
'bing'xing'kou 并行口
'bing'xing'lian'jie 并行联结
'bing'xing'lian'jie 并行连接
'bing'xing'mo'ni 并行模拟
'bing'xing'pai'xu'suan'fa 并行排序算法
'bing'xing'ren'wu 并行任务
'bing'xing'ren'wu'pai'sheng 并行任务派生
'bing'xing'shi'shi'chu'li 并行实时处理
'bing'xing'shu'ju'ku 并行数据库
'bing'xing'sou'suo 并行搜索
'bing'xing'suan'fa 并行算法
'bing'xing'tu 饼形图
'bing'xing'tui'li'ji 并行推理机
'bing'xing'tu'lun'suan'fa 并行图论算法
'bing'xing'tu'xing'suan'fa 并行图形算法
'bing'xing'wai'pai'xu 并行外排序
'bing'xing'xing 并行性
'bing'xing'xuan'ze'suan'fa 并行选择算法
'bing'xing'xu'ni'ji 并行虚拟机
'bing'xing'zhi'ling'dui'lie 并行指令队列
'bing'xing'zhi'xing 并行执行
'bing'xue'feng'qing 冰雪封情
'bin'xi'fa'ni'ya'da'xue 宾夕法尼亚大学
'bi'shu 笔数
'bi'shun 笔顺
'bi'shu'ru'ji'suan'ji 笔输入计算机
'bi'te 比特
'bi'te'hui'xing 比特彗星
'bi'te'jing'ling 比特精灵
'bi'te'lv 比特率
'bi'te'xin'ling 比特信令
'bi'ye'she'ji'li'bao 毕业设计礼包
'bi'ying'sou'suo'yin'qing 必应搜索引擎
'bi'zhi'kong'zhi 比值控制
'bo'dao 波导
'bo'de'tu 伯德图
'bo'er'zi'man'ji 玻尔兹曼机
'bo'fang'lie'biao 播放列表
'bo'fang'sheng'yin 播放声音
'bo'fen'fu'yong 波分复用
'bo'feng'han 波峰焊
'bo'hao 拨号
'bo'hao'zhong'duan 拨号终端
'bo'li'huan'yang'ban 玻璃环氧板
'bo'nu'li'pan 伯努利盘
'bo'si'te'xi'tong 波斯特系统
'bo'te 波特
'bo'te'hou'men 波特后门
'bo'te'lv 波特率
'bo'xing 波形
'bo'xing'liu'shui'xian 波形流水线
'bo'yi 博弈
'bo'yi'lun 博弈论
'bo'yi'shu 博弈树
'bo'yi'shu'sou'suo 博弈树搜索
'bo'yi'tu 博弈图
'bu'bei'xin'ren'de'cheng'xu 不被信任的程序
'bu'bian'dai'ma'yi'chu 不变代码移出
'bu'bian'liang 不变量
'bu'bian'mo'shi 不变模式
'bu'bian'shi 不变式
'bu'chang 补偿
'bu'chang'shi'wu 补偿事务
'bu'chang'wang'luo 补偿网络
'bu'chang'xing'kong'zhi 补偿性控制
'bu'chong'xing'kong'zhi 补充性控制
'bu'deng'chang'bian'ma 不等长编码
'bu'ding 补丁
'bu'ding'ci'bu'ding'shi 不定词不定式
'bu'du 布毒
'bu'dui'chen'shu'zi'yong'hu'fu'wu'xian 不对称数字用户服务线
'bu'er'biao'da'shi 布尔表达式
'bu'er'cha'zhao 布尔查找
'bu'er'dai'shu 布尔代数
'bu'er'guo'cheng 布尔过程
'bu'er'sou'suo 布尔搜索
'bu'er'yun'suan 布尔运算
'bu'er'zhi 布尔值
'bu'fen'chen'jin'shi'xu'ni'xian'shi 部分沉浸式虚拟现实
'bu'fen'chong'hua 部分重画
'bu'fen'han'shu'yi'lai 部分函数依赖
'bu'fen'jia'dian 部分加电
'bu'fen'zheng'que'xing 部分正确性
'bu'gui'ling'zhi 不归零制
'bu'he'luo'ji 不合逻辑
'bu'hua'ji 步话机
'bu'huo 捕获
'bu'huo'yi'chang 捕获异常
'bu'jian'bian'ma 部件编码
'bu'jian'chai'fen 部件拆分
'bu'jian'duan'dian'yuan 不间断电源
'bu'jian'kong'jian 部件控件
'bu'jian'ma 部件码
