'a'da'zhong'lang'xi'you'yu 阿大中郎喜有馀
'ai'yu'kou'qing'diao 哀玉扣清调
'ai'yun'shan'yi'you'qiu 爱云山以幽求
'ai'zai'bu'neng'mou 哀哉不能谋
'ai'zai'chu'kuang'shi 哀哉楚狂士
'ai'zai'er'bao'ke 哀哉二暴客
'ai'zai'fu'feng'zi 哀哉扶风子
'ai'zai'liang'jue'jue 哀哉两决绝
'ai'zai'lian'qun'zi 哀哉练裙子
'ai'zai'ming'bu'ou 哀哉命不偶
'ai'zai'ren'zi'xin 哀哉人子心
'ai'zai're'yu'jing'zuo'kou 哀哉若鱼竟坐口
'ai'zai'sui'han'zi 哀哉岁寒姿
'ai'zai'wang'sun'shen'wu'shu 哀哉王孙慎勿疏
'ai'zai'wei'cheng'jun 哀哉魏城君
'ai'zai'wu'yue'ren 哀哉吴越人
'ai'zai'zhi'wo'pin 哀哉知我贫
'ai'zheng'yi'nong'xiang'jiang'qu 哀筝一弄湘江曲
'ai'zhi'bu'zi'yi 爱之不自已
'ai'zhi'mo'ye 哀之末也
'ai'zhi'nai'wu'lao'hu 爱之能勿劳乎
'ai'zhi'suo'yi'cheng 爱之所以成
'ai'zhi'wang'ku'shen 爱至望苦深
'ai'zhi'xie'xing'xian'zuo'cao 矮纸斜行闲作草
'ai'zhi'ying'ya'chou'huan'luan 艾枝应压愁鬟乱
'ai'zhi'yu'ji'fu'ye 爱之欲其富也
'ai'zhi'yu'ji'sheng 爱之欲其生
'ai'zhi'yu'ji'sheng'you'si 爱之欲其生又死
'ai'zhi'yu'wang'fan 爱之欲忘返
'ai'zhi'ze'qin 爱之则亲
'ai'zhu'chu'wang'gong 爱主出王宫
'ai'zhu'nai'yan'ke 爱竹能延客
'ai'zhuo'you'xiang'wei'ni'hui 爱著幽香未拟回
'ai'zhu'zui'zhi'wang'zi'you 爱竹最知王子猷
'ai'zi'suo'shou'zhuo 爱子所守卓
'ai'zi'xin'wu'jin 爱子心无尽
'a'jian'shi'pan'gu'pu'jie 阿坚泽畔菰蒲节
'a'jiao'chu'shi'han'huang'en 阿娇初失汉皇恩
'a'jiao'chu'zhe'dan'huang'yi 阿娇初著淡黄衣
'a'jiao'jin'wu 阿娇金屋
'a'lian'kong'fu'meng'zhong'lai 阿连空复梦中来
'a'man'wen'wu'ru'si'hu 阿瞒文武如兕虎
'a'mu'bai'mei'ren 阿母白媒人
'a'mu'ceng'yao'dao'han'gong 阿母曾邀到汉宫
'a'mu'chong'tao'yun'hai'ji 阿母种桃云海际
'a'mu'da'bei'cui 阿母大悲摧
'a'mu'da'fu'zhang 阿母大拊掌
'a'mu'dei'wen'zhi 阿母得闻之
'a'mu'wei'a'nv 阿母谓阿女
'a'mu'wei'fu'li 阿母谓府吏
'a'mu'wei'ru'qiu 阿母为汝求
'a'mu'xie'mei'ren 阿母谢媒人
'an'ai'qing'yun'jian 晻霭卿云间
'an'ai'wang'cun'lu 晻霭王村路
'an'an'chang'kong'yi'dao'xie 黯黯长空一道斜
'an'an'dan'dan'zi 暗暗淡淡紫
'an'an'dang'chuang'yun'bu'qu 黯黯当窗云不驱
'an'an'fu'fei'ji 岸广凫飞急
'an'an'huang'hun'hou 庵庵黄昏后
'an'an'hu'ji'wu'bu'rong'ye 广广乎其无不容也
'an'an'jian'lin'tao 黯黯见临洮
'an'an'meng'yun'jing'duan 黯黯梦云惊断
'an'an'qiu'qi'xu 黯黯秋气蓄
'an'an'ri'yu'ming 暗暗日欲暝
'an'an'sheng'tian'ji 黯黯生天际
'an'an'zhi'xun'lai'chu'lu 黯黯只寻来处路
'a'na'qu 阿那曲
'an'bang'hua'liu'kan'sheng'hua 岸傍花柳看胜画
'an'bang'qi'ma'lang 岸傍骑马郎
'an'bian'chan'zao'chui'yang 岸边蝉噪垂杨
'an'bian'liang'liang'san'san 岸边两两三三
'an'bian'tian'ying'sui'chao'ru 岸边天影随潮入
'an'bian'yang'liu'zui'lian'yi 岸边杨柳最怜伊
'an'bi'yi'guan'xian 按跸夷关险
'an'bu'dang'jun'che 安步当君车
'an'bu'li'ma'bei 鞍不离马背
'an'bu'liu'chen'zhu 按部留宸瞩
'an'bu'wang'wei 安不忘危
'an'bu'xiang'ban 暗补香瘢
'an'bu'zhi'shan'jiao 安步陟山椒
'an'cao'cao'zhi'ru'xu'kou 按曹操至濡须口
'an'cao'shuang'hua'fa 暗草霜华发
'an'chai'hai'tang'hong'fen'mian 暗拆海棠红粉面
'an'chan'zhi'du'long 安禅制毒龙
'an'chao'sheng'zhu'diao'han'yin 暗潮生渚吊寒蚓
'an'chen'bu'qi 暗尘不起
'an'cheng'you'xing'yi'xun'chun 庵成有兴亦寻春
'an'chen'qin 暗尘侵
'an'chen'sui'ma'qu 暗尘随马去
'an'chong'ji'ji'rao'wo'bang 暗虫唧唧绕我傍
'an'chui'zhu'lou 暗垂珠露
'an'chu're'jiao'tong'zhong'lei 暗处若教同众类
'an'ci'mi'lu'zi 安此麋鹿姿
'an'ci'shou'xing'chan 按次守星躔
'an'dai'chun'hua'fu 广待淳化敷
'an'dan'chuang'sha 黯淡窗纱
'an'dan'qing'huang'ti'xing'rou 暗淡轻黄体性柔
'an'dan'yang'hua'tian 黯淡养花天
'an'de'bao'zhu'xin 安得抱柱信
'an'de'cai'ji'ying 安得采其英
'an'de'chang'bu'lao 安得长不老
'an'de'chang'gan'ru'shou'lai 安得长竿入手来
'an'de'chang'ku'bei 安得长苦悲
'an'de'chang'qiang'jian 安得常强健
'an'de'chang'ti'shang'zhai'shi 安得长梯上摘食
'an'de'che'lun'si'jiao 安得车轮四角
'an'de'chou'chu'bu'shuai'lao 安得踌蹰不衰老
'an'de'chun'ni'bu'di'lie 安得春泥补地裂
'an'de'ci'shen'ru'cao'shu 安得此身如草树
'an'de'ci'shen'tuo'ju'luan 安得此身脱拘挛
'an'de'dao'ren'xie'di'qu 安得道人携笛去
'an'de'dao'ren'yan'qi'qi 安得道人殷七七
'an'de'dong'feng'yi'chui'ru 安得冬风一吹汝
'an'de'du'cong'xiao'yao'jun 安得独従逍遥君
'an'de'er'zhi'yan 安得而至焉
'an'de'fen'chi'he 安得奋翅翮
'an'de'feng'fan'sui'xue'shui 安得风帆随雪水
'an'de'fu'chai'shui'xi'shou 安得夫差水犀手
'an'de'guang'sha'qian'wan'jian 安得广厦千万间
'an'de'gu'gen'lian'ye'fa 安得孤根连夜发
'an'de'gui'zhou'zai'yue'ming 安得归舟载月明
'an'de'hui'xu'xin 安得会虚心
'an'de'hu'shan'gui'wo'shou 安得湖山归我手
'an'de'jiang'hu'hu'dang'yan 安得江湖忽当眼
'an'de'jia'ren'zhuo'su'shou 安得佳人擢素手
'an'de'ji'cao'mu 安得及草木
'an'de'jin'zhao'hui'bi'xu 安得今朝会碧虚
'an'de'jiu'chi'chu 安得久踟蹰
'an'de'jiu'chuan'san'wan'hu 安得酒船三万斛
'an'de'jiu'liu'zhi 安得久留滞
'an'de'jiu'qing'liu 安得久情留
'an'de'ji'yi'chong 安得期逸宠
'an'de'liang'huang'gu 安得两黄鹄
'an'de'ling'feng'yu 安得凌风羽
'an'de'lin'xian'tan 安得临仙坛
'an'de'long'meng'bi 安得龙猛笔
'an'de'meng'shi'xi'shou'si'fang 安得猛士兮守四方
'an'de'meng'sui'pi'li'jia 安得梦随霹雳驾
'an'deng'liang'dian'yuan'fen'li 暗灯凉簟怨分离
'an'de'nian'chun'gui 安得念春闺
'an'de'qian'xun'heng'tie'suo 安得千寻横铁锁
'an'de'qing'si'lao'jun'ma 安得青丝络骏马
'an'de'qing'tan'yi'tao'xie 安得清谈一陶写
'an'de'qing'tian'hua'zuo'yi'zhang'zhi 安得青天化作一张纸
'an'de'qiong'yao'zeng'ying'ba 安得琼瑶赠盈把
'an'de'qu'si'fang 安得驱四方
'an'de'ran'xi'zhao'shen'wu 安得然犀照神物
'an'de'ruan'bu'bing 安得阮步兵
'an'de'ru'niao'you'yu'chi 安得如鸟有羽翅
'an'de'shang'fang'duan'ma'jian 安得上方断马剑
'an'de'shan'quan'bian'chun'jiu 安得山泉变春酒
'an'de'shan'teng'san'qian'che 安得剡藤三千尺
'an'de'shen'ru'cang'yu'shi 安得身如仓庾氏
'an'de'shen'wei'han'du'hu 安得身为汉都护
'an'de'shen'xian'shu 安得神仙术
'an'de'shuang'ye'ya 安得双野鸭
'an'de'si'bi'wu'chai'lang 安得四鄙无豺狼
'an'de'si'ren'shu 安得斯人术
'an'de'song'wo'zhi'ru'bang 安得送我置汝傍
'an'de'tian'yuan'ke'wen'bao 安得田园可温饱
'an'de'tong'yong'jiu 安得同永久
'an'de'wan'qing'chi 安得万顷池
'an'de'wu'lei'ru'huang'he 安得无泪如黄河
'an'de'xian'sheng'tong'yi'yin 安得先生同一饮
'an'de'xian'yan'dan'zhen'tou 安得闲眼石枕头
'an'de'xie'gua'ji'pang'guan 安得携挂其旁观
'an'de'xiong'wen'ya'sheng'jing 安得雄文压胜境
'an'de'yan'qian'zhi'you'qing'feng'yu'ming'yue 安得眼前只有清风与明月
'an'de'ye'can'cheng'jian'tian'yu'su 安得野蚕成茧天雨粟
'an'de'ye'kai'gu'jiu'hu 安得夜开沽酒户
'an'de'yi'chan'wu'yu'lao 安得一廛吾欲老
'an'de'yi'tian'chou'bao'jian 安得倚天抽宝剑
'an'de'yi'tian'jian 安得倚天剑
'an'de'yi'zhou'ru'xie'qing 安得一舟如叶轻
'an'de'yong'rong'yi'zun'jiu 安得雍容一樽酒
'an'de'you'che'ma 安得有车马
'an'de'you'ying'xiong 安得有英雄
'an'de'yuan'ji'zhe 安得圆机者
'an'de'yuan'long'bai'chi'lou 安得元龙百尺楼
'an'de'yu'jun'zui'qi'zhong 安得与君醉其中
'an'de'yun'ru'gai 安得云如盖
'an'de'yu'zhi'xie 安得与之偕
'an'de'zhi'lao'bu'geng'gui 安得至老不更归
'an'de'zhong'shen'wei'yu'kou 安得终身为御寇
'an'de'zhuang'shi'wan'tian'he 安得壮士挽天河
'an'de'zi'ji'you 安得自其牖
'an'dian'qing'xiang'fa 广殿轻香发
'an'dian'suo 暗殿锁
'an'dian'yan'qun'chen 广殿延群臣
'an'di'hua'sao 暗滴花梢
'an'di'jiao'zhu'zhui 暗滴鲛珠坠
'an'ding'cheng'lou 安定城楼
'an'di'qiu'qian'bie'you'ji 暗地秋千别有期
'an'dui'qian'shi 暗追前事
'an'du'pian'wei'gua 案牍偏为寡
'an'fang'bai'ni'chang 安访白霓裳
'an'fang'zu'you'qi 暗芳足幽气
'an'fa'san'quan'shan 暗发三泉山
'an'fei'ying'zi'zhao 暗飞萤自照
'an'fen'du'fu'rong 暗粉妒芙蓉
'an'feng 安凤
'an'feng'chui'yu'ru'han'chuang 暗风吹雨入寒窗
'an'feng'jing'shu'bai'lin'lang 暗风惊树摆琳琅
'an'fou'chang'zai'er 安否常在耳
'an'fu'fen'fan'shi'jie'yi 按抚纷烦使节移
'ang'ang'chun'xi'dai'yu'hun 盎盎春溪带雨浑
'ang'ang'chun'yu'dong 盎盎春欲动
'ang'ang'feng'yu'qi 盎盎风与气
'ang'ang'lei'shi'shi 昂昂累世士
'an'gan'pan'fei'long 安敢攀飞龙
'an'gan'tuan'jiu'wan 安敢抟九万
'an'gao'cuan'shu'dan 岸高攒树石
'ang'cang'duo'gu'mao 昂藏多古貌
'ang'cang'que'li'gu'yi'guan 昂藏却立古衣冠
'ang'cang'zhen'qi'duo 昂藏真气多
'an'gong'gui'yu'chou 岸红归欲稠
'ang'ran'xun'si'zhi 盎然熏四支
'ang're'bai'lu'tuan 盎若白露漙
'ang'tou'wen'ke'ji'shi'gui 昂头问客几时归
'an'gua'zhi'tu'jian'fen'jia 鞍挂雉兔肩分麚
'an'gu'ni'feng'yu 暗谷疑风雨
'ang'xu'wo'you 卬须我友
'ang'zang'ru'jun'ge'yi'men 肮脏如君合倚门
'ang'zang'shei'yu'lun 肮脏谁与伦
'ang'zang'xue'man'tou 肮脏雪满头
'ang'zang'yi'xing'zai 肮脏仪刑在
'an'hang'song'ju'xi'you'cun 按行松菊喜犹存
'an'hang'zhong'bu'yi 暗行终不疑
'an'he 岸呵
'an'hen'yu'yan'guang'jing 暗恨玉颜光景
'an'hong'jian 安鸿渐
'an'hua'an'bu'hua 安化安不化
'an'hua'fei'song'ke 岸花飞送客
'an'hua'jiao'zhuo'shang'yu'hong 岸花焦灼尚余红
'an'hua'kai'ju'la 岸花开且落
'an'hua'lin'hu'fa 暗花临户发
'an'hua'ming'shui'shu 岸花明水树
'an'huang'zhu'liu'gong'lou'chi 暗黄著柳宫漏迟
'an'hua'zhuo'xie 安花著叶
'an'hui'fan'ying'ji 岸回帆影疾
'an'hu'ji'shi'shi'ye 广乎其似世也
'an'hun'han'shen'qi 岸昏涵蜃气
'an'huo'mai'shi'tan 暗火埋湿炭
'an'jian'cong'sha'mo 按剑从沙漠
'an'jian'dai'kai'bian 按剑待开边
'an'jian'fang'liu'qi'shi'ru'wu'liu'shi'er'fei'bang'ye'zhe 安见方六七十如五六十而非邦也者
'an'jiang'wang'shi'si'liang'bian 暗将往事思量遍
'an'jiang'wu'shu'qian 广江无术阡
'an'jian'jin'ying'yang 按剑尽鹰扬
'an'jian'xin'fei'yang 按剑心飞扬
'an'jian'zhi'yan'bai'xiang'kan 按剑之眼白相看
'an'jiao'qing'ling'shi 暗觉青绫湿
'an'jia'tao'hua'jin'lang'sheng 岸夹桃花锦浪生
'an'ji'ben'ce'shi 安期本策士
'an'jie'ru'xian'jing 按节入咸京
'an'jie'xun'he'you 按节巡河右
'an'ji'jin'he'zai 安期今何在
'an'jin'bang'ge'qiu 岸近榜歌遒
'an'jing'feng'ye 暗惊风叶
'an'jing'mei'rui'feng'qian'du 暗惊梅蕊风前度
'an'jin'gu'mian'zi'wei 谙尽孤眠滋味
'an'jin'hui'zhong'tan 暗尽灰中炭
'an'jiong'chong'chong'liu 岸迥重重柳
'an'jiong'qiu'xia'la 岸迥秋霞落
'an'ji'ren 安其忍
'an'ji'rong'rong'ying'yu'wang 岸荠茸茸映鱼网
'an'ji'ru'peng'hai 安期入蓬海
'an'ji'shu'ke'yi 安期庶可揖
'an'ji'wei'er'li'ji 安其危而利其
'an'ji'xian'men'xiang'yu'you 安期羡门相与游
'an'ji'yu'xian'men 安期与羡门
'an'ju'chu'han'rui 岸菊初含蕊
'an'ju'er'tian'xia'xi 安居而天下熄
'an'ju'ji'xi 安且吉兮
'an'ju'san'shi'nian 安居三十年
'an'ju'shou'qi'quan 安居受其全
'an'ju'yu'wo'you 安居与我游
'an'ju'zhao'chen'guang 岸菊照晨光
'an'ke'ci'gu'qiong 安可辞固穷
'an'ken'wei'jun'yan 安肯为君妍
'an'ke'xiang'sui'fei 安可相随飞
'an'ke'yi'ri'wu'ci'jun 安可一日无此君
'an'ke'yu'cheng'gong 安可与成功
'an'ku'cang'cang'tian 暗哭苍苍天
'an'la'fan'zhi 暗落繁枝
'an'le'gong'zhu 安乐公主
'an'lei'sa'deng'gou 暗泪洒灯篝
'an'le'yan'nian'wan'shi'xiu 安乐延年万事休
'an'liang'wen'yu'yan 暗梁闻语燕
'an'li'hui'mou'shen'zhu'yi 暗里回眸深属意
'an'li'hu'jing'shan'niao'ti 暗里忽惊山鸟啼
'an'li'jiao'jun'gu'sui'ku 暗里教君骨髓枯
'an'liu'jin'yun 岸柳金匀
'an'liu'jin'yu'zhou 安流进玉轴
'an'liu'kai'xin'xie 岸柳开新叶
'an'liu'long'jiao'huang 岸柳弄娇黄
'an'liu'qu'ru'fei 安流去如飞
'an'liu'ti'ya 暗柳啼鸦
'an'liu'tuo'yan'lu 岸柳拖烟绿
'an'liu'xiao'xiao 暗柳萧萧
'an'li'yi'sui'ma'duo'hang 暗里依随马垛行
'an'lun'fu'si'hai 广轮抚四海
'an'ma'dong'xi'gu'chui'xiu 鞍马东西鼓吹休
'an'ma'fu'shi 鞍马赋诗
'an'ma'si'bian'kai 鞍马四边开
'an'ma'xin'nian'ji'ri'liu 鞍马新年几日留
'an'mei'cheng'ban'e 广眉成半额
'an'mian'ben'fei'shui 安眠本非睡
'an'mian'hai'zi'yun 安眠海自运
'an'mian'mie'nian'bi'you'jiong 安眠灭念闭幽扃
'an'mian'wu'meng'yu'sheng'xin 安眠无梦雨声新
'an'mi'jin'chai'dong'xiao'han 暗觅金钗动晓寒
'an'mo'zhi'ye 广莫之野
'an'mu'sheng'xiang'wei 岸木声向微
'an'nao'pan'lang'jiu'hen 暗恼潘郎旧恨
'an'neng'bian'wo'shi'xiong'ci 安能辨我是雄雌
'an'neng'chang'yu'bie 安能长鱼鳖
'an'neng'chao'si'mu'san'lang'you'xi 安能朝四暮三浪忧喜
'an'neng'cui'mei'zhe'yao'shi'quan'gui 安能摧眉折腰事权贵
'an'neng'gu'ci'yi 安能孤此意
'an'neng'hua'ren 安能化人
